Idx	Frequency	Coverage (%)	Phrase
1200	135	50.53	一共
1201	135	50.54	回答
1202	134	50.55	是我
1203	134	50.56	倆
1204	134	50.57	已經有
1205	134	50.58	白
1206	134	50.58	反
1207	134	50.59	出去
1208	133	50.60	擅長
1209	133	50.61	好了
1210	133	50.61	相比
1211	133	50.62	根本
1212	133	50.63	費
1213	133	50.64	學校
1214	133	50.64	類似
1215	133	50.65	因此，
1216	133	50.66	室友
1217	133	50.67	名字
1218	132	50.68	爲什
1219	132	50.69	解釋
1220	132	50.69	之所以
1221	132	50.70	另外，
1222	131	50.71	踢
1223	131	50.72	「
1224	131	50.72	一場
1225	131	50.73	電視
1226	131	50.74	病
1227	131	50.74	增
1228	131	50.75	我對
1229	130	50.76	況
1230	130	50.77	從來
1231	130	50.77	死
1232	130	50.78	困難
1233	130	50.79	之後，
1234	130	50.79	心情
1235	130	50.80	尤其
1236	130	50.81	信息
1237	130	50.81	幹
1238	130	50.82	注
1239	129	50.83	慢慢
1240	129	50.84	一篇
1241	129	50.84	在那
1242	129	50.85	休息
1243	129	50.86	的方式
1244	129	50.87	思考
1245	129	50.88	到現在
1246	129	50.88	味道
1247	129	50.89	到的
1248	129	50.90	達到
1249	128	50.90	他們的
1250	128	50.91	增加
1251	128	50.92	一份
1252	128	50.92	般
1253	128	50.93	依
1254	128	50.94	激
1255	127	50.94	了一下
1256	127	50.95	句話
1257	127	50.96	總之
1258	127	50.97	安排
1259	127	50.97	健康
1260	127	50.98	層
1261	127	50.99	不到
1262	127	50.99	鍛鍊
1263	127	51.00	禮
1264	126	51.01	，很
1265	126	51.02	報道
1266	126	51.02	大部分
1267	126	51.03	以來
1268	126	51.04	舊
1269	126	51.04	但我
1270	126	51.05	的漢語
1271	126	51.06	討論
1272	126	51.06	程度
1273	125	51.07	相信
1274	125	51.08	搭
1275	125	51.09	透
1276	125	51.09	這件事
1277	125	51.10	學會
1278	125	51.11	線
1279	125	51.11	圍
1280	125	51.12	並不
1281	125	51.13	媽媽
1282	125	51.13	能讓
1283	125	51.14	別的
1284	125	51.15	附
1285	124	51.16	一本
1286	124	51.17	那兒
1287	124	51.17	給他
1288	124	51.18	另一個
1289	124	51.19	看法
1290	124	51.20	棟
1291	124	51.20	的情況
1292	124	51.21	金
1293	123	51.21	怕
1294	123	51.22	，她
1295	123	51.23	用了
1296	123	51.24	剛剛
1297	123	51.25	回來
1298	123	51.25	試着
1299	123	51.26	顧
1300	123	51.27	按照
1301	123	51.27	馬
1302	122	51.28	照顧
1303	122	51.29	也就
1304	122	51.29	導
1305	122	51.30	制
1306	122	51.31	表現
1307	122	51.31	這讓
1308	122	51.32	申請
1309	122	51.33	含
1310	122	51.33	姓
1311	122	51.34	啊！
1312	122	51.35	表演
1313	122	51.36	怪
1314	122	51.36	不同的
1315	121	51.37	有着
1316	121	51.37	懷
1317	121	51.38	豐富
1318	121	51.39	聽說
1319	121	51.39	底
1320	121	51.40	凌晨
1321	120	51.41	賽
1322	120	51.41	盛
1323	120	51.42	件事
1324	120	51.43	剩
1325	120	51.44	父母
1326	119	51.44	際
1327	119	51.45	得了
1328	119	51.45	。我
1329	119	51.46	有什麼
1330	119	51.47	怎麼樣
1331	119	51.48	吃了
1332	119	51.48	狀況
1333	119	51.49	借
1334	119	51.50	你的
1335	119	51.51	處理
1336	119	51.51	否
1337	119	51.52	昨天
1338	118	51.53	不過，
1339	118	51.53	因爲我
1340	118	51.54	示
1341	118	51.55	裏有
1342	118	51.55	使得
1343	118	51.56	值得
1344	118	51.56	感興趣
1345	118	51.57	還能
1346	118	51.58	來到
1347	117	51.58	交談
1348	117	51.59	下午
1349	117	51.59	籍
1350	117	51.60	朝
1351	117	51.61	路上
1352	117	51.62	去過
1353	117	51.62	對我來說
1354	117	51.63	從而
1355	117	51.63	處於
1356	116	51.64	議
1357	116	51.64	它是
1358	116	51.65	&gt;
1359	116	51.65	代表
1360	116	51.66	目標
1361	116	51.67	我都
1362	116	51.68	一定要
1363	115	51.68	享受
1364	115	51.69	肯
1365	115	51.69	此外
1366	115	51.70	洗
1367	115	51.71	有所
1368	115	51.71	散
1369	115	51.72	的朋友
1370	115	51.73	的一
1371	115	51.73	家裏
1372	115	51.74	房間
1373	115	51.75	行爲
1374	114	51.75	材
1375	114	51.76	四
1376	114	51.76	辦法
1377	114	51.77	討厭
1378	114	51.78	就去
1379	114	51.78	跟我
1380	114	51.79	一定會
1381	114	51.80	身上
1382	114	51.80	假期
1383	114	51.81	辛
1384	114	51.82	觀點
1385	114	51.82	不太
1386	114	51.83	圖
1387	114	51.84	寒
1388	114	51.84	訝
1389	113	51.85	過程
1390	113	51.86	猜
1391	113	51.86	謝
1392	113	51.87	照片
1393	113	51.88	城市
1394	113	51.88	覺得很
1395	113	51.89	否則
1396	112	51.89	原本
1397	112	51.90	了一些
1398	112	51.91	覆
1399	112	51.91	來，
1400	112	51.92	，還有
1401	112	51.93	說明
1402	112	51.93	放棄
1403	112	51.94	於是，
1404	112	51.95	和她
1405	112	51.95	一隻
1406	112	51.96	的中文
1407	112	51.97	精神
1408	111	51.97	服務
1409	111	51.98	像是
1410	111	51.99	搞
1411	111	52.00	，它
1412	111	52.00	經濟
1413	111	52.01	擔
1414	111	52.01	全部
1415	111	52.02	五
1416	111	52.03	有一個
1417	111	52.03	陪
1418	111	52.04	剩下
1419	111	52.05	用中文
1420	111	52.05	開車
1421	111	52.06	有時候
1422	111	52.07	再也
1423	111	52.07	叫做
1424	111	52.08	未來
1425	110	52.08	和他
1426	110	52.09	餐廳
1427	110	52.10	休
1428	110	52.11	給她
1429	110	52.11	界
1430	110	52.12	夜
1431	110	52.12	拉
1432	110	52.13	侯
1433	110	52.14	火
1434	110	52.14	也可以
1435	110	52.15	母
1436	110	52.15	付
1437	110	52.16	給你
1438	110	52.17	扔
1439	110	52.17	系
1440	110	52.18	風格
1441	109	52.19	就有
1442	109	52.19	出生
1443	109	52.20	精
1444	109	52.21	一切
1445	109	52.21	棵
1446	109	52.22	留下
1447	109	52.23	園
1448	109	52.23	太多
1449	109	52.24	認真
1450	109	52.24	遊戲
1451	109	52.25	她們
1452	109	52.26	請問
1453	109	52.26	起，
1454	109	52.27	設
1455	109	52.28	合適
1456	109	52.28	慢
1457	109	52.29	說法
1458	108	52.30	英語
1459	108	52.30	說，
1460	108	52.31	作品
1461	108	52.31	西
1462	108	52.32	也沒有
1463	108	52.33	產生了
1464	108	52.33	當我
1465	108	52.34	帶着
1466	107	52.34	亮
1467	107	52.35	速
1468	107	52.35	消
1469	107	52.36	在這
1470	107	52.37	版
1471	107	52.37	一會兒
1472	107	52.38	族
1473	107	52.38	體驗
1474	107	52.39	育
1475	107	52.40	嘗試
1476	107	52.40	俗
1477	107	52.41	長得
1478	107	52.41	允許
1479	107	52.42	一箇
1480	107	52.43	進行了
1481	106	52.43	組
1482	106	52.44	也不
1483	106	52.45	沒辦法
1484	106	52.45	出現了
1485	106	52.46	的到來
1486	106	52.47	開了
1487	106	52.47	碗
1488	106	52.48	之處
1489	106	52.48	那種
1490	106	52.49	興趣
1491	106	52.50	臉
1492	106	52.50	偶爾
1493	106	52.51	配
1494	105	52.52	恢復
1495	105	52.52	房
1496	105	52.53	度過
1497	105	52.53	持續
1498	105	52.54	牠
1499	105	52.55	杯
1500	105	52.55	結婚
1501	105	52.56	海
1502	105	52.56	狀態
1503	104	52.57	不斷
1504	104	52.57	燒
1505	104	52.58	一年
1506	104	52.59	創
1507	104	52.59	會變得
1508	104	52.60	團
1509	104	52.61	支持
1510	104	52.61	項目
1511	104	52.62	起牀
1512	104	52.62	來看
1513	104	52.63	吵
1514	103	52.64	哪裏
1515	103	52.64	消息
1516	103	52.65	的呢
1517	103	52.65	欣賞
1518	103	52.66	彈
1519	103	52.67	閱
1520	103	52.67	盡
1521	103	52.68	命
1522	103	52.68	多少
1523	102	52.69	想起
1524	102	52.69	零
1525	102	52.70	時期
1526	102	52.70	男
1527	102	52.71	同樣
1528	102	52.72	新聞
1529	102	52.72	更多的
1530	102	52.73	測
1531	102	52.74	驗
1532	102	52.74	卡
1533	102	52.75	-
1534	102	52.75	吧！
1535	102	52.76	世界
1536	101	52.76	令我
1537	101	52.77	故
1538	101	52.77	果然
1539	101	52.78	證
1540	101	52.78	衣服
1541	101	52.79	走了
1542	101	52.79	在我
1543	101	52.80	升
1544	101	52.81	心裏
1545	101	52.81	新的
1546	100	52.82	顆
1547	100	52.82	糟糕
1548	100	52.83	感到很
1549	100	52.83	見到
1550	100	52.84	套
1551	100	52.85	麗
1552	100	52.85	旦
1553	100	52.86	翻譯
1554	100	52.86	彙
1555	100	52.87	充滿
1556	100	52.87	大陸
1557	100	52.88	降
1558	100	52.89	會讓
1559	100	52.89	註冊
1560	100	52.90	佔
1561	100	52.91	聞
1562	100	52.91	愉快
1563	100	52.92	改善
1564	100	52.92	超
1565	100	52.93	慶
1566	100	52.93	善
1567	99	52.94	或是
1568	99	52.95	還可以
1569	99	52.95	例如
1570	99	52.96	態度
1571	99	52.96	寫作
1572	99	52.97	吃的
1573	99	52.97	務
1574	99	52.98	都沒有
1575	99	52.98	候，
1576	99	52.99	良
1577	99	52.99	對話
1578	99	53.00	艱
1579	99	53.01	報
1580	99	53.01	留學
1581	99	53.02	丟
1582	99	53.02	價
1583	98	53.03	利用
1584	98	53.03	旁邊
1585	98	53.04	響
1586	98	53.04	提出
1587	98	53.05	了個
1588	98	53.05	衆
1589	98	53.06	花費
1590	98	53.06	上去
1591	98	53.07	終
1592	98	53.07	午
1593	97	53.08	檢
1594	97	53.09	提前
1595	97	53.09	其他的
1596	97	53.10	怎樣
1597	97	53.11	的學生
1598	97	53.11	肉
1599	97	53.12	快要
1600	96	53.13	的方法
