Idx	Frequency	Coverage (%)	Phrase
462	403	41.71	聊天
463	402	41.73	這裏
464	400	41.75	往
465	398	41.76	如
466	396	41.78	是在
467	395	41.80	下來
468	395	41.82	動
469	394	41.83	頭
470	392	41.85	站
471	392	41.87	週
472	391	41.89	身
473	391	41.91	特別
474	390	41.93	關
475	390	41.95	那個
476	390	41.97	曾
477	389	41.99	，但
478	387	42.00	的事情
479	387	42.02	程
480	384	42.04	有些
481	383	42.06	主
482	382	42.07	之間
483	381	42.09	口
484	380	42.11	就能
485	380	42.13	明
486	379	42.15	也很
487	378	42.17	一位
488	377	42.19	天氣
489	375	42.21	大概
490	375	42.23	情況
491	375	42.25	數
492	374	42.26	會有
493	374	42.28	許
494	372	42.30	言
495	369	42.32	店
496	369	42.33	品
497	368	42.35	活動
498	368	42.37	幫助
499	368	42.39	……
500	367	42.41	算
501	365	42.43	方式
502	364	42.45	害
503	363	42.46	開心
504	363	42.48	後來
505	363	42.50	色
506	363	42.52	想法
507	362	42.54	都很
508	361	42.56	晚
509	360	42.58	不能
510	359	42.60	也有
511	359	42.62	拍
512	358	42.64	一名
513	357	42.66	錢
514	356	42.68	利
515	356	42.69	朋友
516	356	42.71	想要
517	356	42.73	如何
518	355	42.75	令人
519	354	42.77	導致
520	354	42.79	念
521	354	42.81	每天
522	353	42.82	根據
523	353	42.84	什
524	353	42.86	的時間
525	351	42.88	差
526	349	42.89	遊
527	348	42.91	然而
528	347	42.93	它們
529	347	42.94	幾
530	347	42.96	時，
531	346	42.97	聲
532	345	42.99	級
533	345	43.01	實
534	345	43.03	都要
535	344	43.05	上了
536	344	43.06	取
537	343	43.08	留
538	343	43.10	僅
539	341	43.12	思
540	340	43.14	挺
541	340	43.16	常常
542	340	43.18	我會
543	339	43.20	餐
544	339	43.21	員
545	336	43.23	持
546	336	43.24	那些
547	335	43.26	愛
548	334	43.28	久
549	334	43.30	而是
550	334	43.31	區
551	333	43.33	, 
552	333	43.34	步
553	331	43.36	越
554	330	43.37	出現
555	329	43.39	讓人
556	329	43.41	人們
557	328	43.43	見面
558	328	43.44	活
559	327	43.46	漢
560	326	43.48	詞
561	323	43.50	的很
562	323	43.51	及
563	322	43.53	早
564	320	43.54	?
565	319	43.56	呆
566	318	43.58	已
567	317	43.59	是因爲
568	317	43.61	我在
569	317	43.62	運
570	316	43.64	曾經
571	315	43.65	公
572	314	43.67	遇到
573	314	43.69	流
574	313	43.70	意思
575	313	43.72	無論
576	310	43.73	的，
577	309	43.75	也許
578	305	43.76	十分
579	304	43.78	你們
580	304	43.80	堅持
581	303	43.82	遇
582	303	43.83	選擇
583	303	43.84	；
584	303	43.86	容易
585	303	43.87	片
586	301	43.88	為
587	301	43.89	比如
588	301	43.91	的時候，
589	300	43.92	幾乎
590	300	43.94	當時
591	298	43.95	足
592	298	43.96	擁
593	297	43.98	整
594	297	43.99	日本
595	297	44.01	過了
596	296	44.03	倒
597	295	44.04	在一起
598	295	44.06	穿
599	295	44.08	畫
600	293	44.10	弄
601	293	44.11	手
602	293	44.13	考試
603	292	44.14	部分
604	292	44.16	完全
605	290	44.17	食物
606	290	44.18	某
607	289	44.20	文章
608	288	44.21	校
609	288	44.23	題
610	287	44.25	真是
611	287	44.26	左右
612	287	44.27	一家
613	286	44.29	介紹
614	286	44.31	得很
615	286	44.32	裝
616	286	44.34	對我
617	286	44.35	影響
618	286	44.37	都有
619	285	44.38	晚上
620	285	44.40	產
621	284	44.41	這種
622	284	44.42	業
623	283	44.44	女
624	283	44.45	關係
625	282	44.47	提供
626	281	44.48	馬上
627	281	44.49	嚴重
628	281	44.51	每個
629	281	44.52	，在
630	280	44.53	塊
631	280	44.55	機
632	279	44.56	竟然
633	278	44.58	第二
634	278	44.59	後，
635	278	44.61	過得
636	277	44.63	是一個
637	277	44.64	，是
638	276	44.66	呢？
639	276	44.67	突然
640	275	44.69	幫我
641	274	44.70	原來
642	274	44.72	困
643	274	44.73	好好
644	274	44.75	有很多
645	273	44.76	忙
646	272	44.78	難
647	272	44.79	擁有
648	271	44.80	產生
649	271	44.82	果
650	271	44.83	水
651	270	44.84	單
652	270	44.86	結
653	270	44.87	明白
654	270	44.88	本來
655	268	44.90	句
656	268	44.91	造
657	267	44.93	我要
658	266	44.95	裏，
659	266	44.96	臺
660	266	44.98	和我
661	265	44.99	裏面
662	265	45.00	計劃
663	265	45.02	近
664	264	45.03	他的
665	264	45.04	自己的
666	264	45.06	聊
667	264	45.07	目前
668	264	45.08	原
669	263	45.10	騎
670	263	45.11	擔心
671	262	45.13	合
672	262	45.14	很少
673	260	45.15	任何
674	259	45.17	一天
675	259	45.18	睡
676	259	45.20	公司
677	258	45.21	確
678	257	45.22	孩
679	257	45.23	照
680	256	45.25	始
681	256	45.26	離開
682	256	45.28	歌
683	256	45.29	比賽
684	256	45.31	嗎？
685	255	45.32	啦
686	255	45.34	約
687	254	45.35	身體
688	254	45.36	項
689	254	45.37	雖
690	254	45.39	觀
691	254	45.40	親
692	253	45.41	低
693	253	45.43	隊
694	252	45.44	型
695	252	45.45	嘗
696	252	45.46	了很
697	252	45.48	演
698	251	45.49	適
699	251	45.50	就算
700	251	45.51	據
701	251	45.53	的問題
702	251	45.54	修改
703	251	45.55	轉
704	251	45.57	做了
705	250	45.58	來了
706	250	45.60	輕
707	250	45.61	表達
708	249	45.62	孩子
709	249	45.63	空
710	247	45.65	不好
711	246	45.66	代
712	246	45.67	雨
713	246	45.69	將會
714	246	45.70	會很
715	246	45.71	受到
716	245	45.72	帶來
717	245	45.74	趣
718	244	45.75	工
719	244	45.76	下去
720	244	45.77	表
721	243	45.78	直到
722	243	45.79	，而且
723	243	45.80	乘
724	243	45.82	歲
725	243	45.83	都能
726	242	45.84	標
727	241	45.85	庭
728	241	45.87	居
729	241	45.88	爲什麼
730	240	45.90	很難
731	240	45.91	，這
732	239	45.92	清
733	239	45.93	指
734	239	45.94	，就
735	238	45.96	一件
736	238	45.97	傳
737	238	45.98	平
738	238	45.99	發展
739	238	46.01	!
740	238	46.02	它的
741	238	46.03	語言
742	237	46.04	令
743	237	46.06	的東西
744	236	46.07	參觀
745	236	46.08	大學
746	236	46.10	看看
747	235	46.11	練
748	235	46.13	負責
749	235	46.14	的機會
750	234	46.15	國家
751	234	46.16	舉行
752	234	46.17	士
753	234	46.18	仍
754	233	46.20	等等
755	233	46.21	更加
756	232	46.22	看起來
757	232	46.23	獲得
758	231	46.25	建議
759	231	46.26	趕
760	230	46.27	找到
761	230	46.28	特
762	230	46.30	任
763	230	46.31	裏的
764	230	46.32	壞
765	230	46.34	熱
766	230	46.35	依然
767	229	46.36	根
768	229	46.37	班
769	228	46.39	很好
770	228	46.40	旅遊
771	228	46.41	別人
772	228	46.42	只好
773	227	46.44	願
774	227	46.45	那樣
775	227	46.46	學生
776	227	46.47	停
777	227	46.48	的話，
778	227	46.49	過去
779	227	46.51	在中國
780	226	46.52	包括
781	226	46.53	住了
782	226	46.54	造成
783	226	46.56	不錯
784	226	46.57	輛
785	225	46.58	經歷
786	225	46.59	機會
787	225	46.61	要去
788	224	46.62	發生了
789	224	46.63	，也
790	223	46.64	很快
791	223	46.65	強
792	223	46.66	就像
793	223	46.67	不知道
794	222	46.68	要求
795	222	46.70	，他
796	222	46.71	就可以
797	222	46.72	友
798	221	46.73	風
799	221	46.75	換
800	220	46.76	格
801	220	46.77	說話
802	220	46.78	犯
803	218	46.80	還會
804	218	46.81	節目
805	218	46.82	章
806	218	46.84	我就
807	218	46.85	重新
808	218	46.86	這次
809	217	46.87	環境
810	217	46.88	習慣
811	217	46.89	半
812	217	46.90	，然後
813	217	46.91	網
814	216	46.93	信
815	216	46.94	食
816	215	46.95	的工作
817	215	46.96	旅行
818	214	46.97	不但
819	213	46.98	方法
820	212	46.99	完成
821	212	47.00	最終
822	211	47.01	較
823	211	47.03	假
824	211	47.03	展
825	211	47.05	的原因
826	211	47.06	保持
827	210	47.07	封
828	210	47.08	附近
829	210	47.09	平時
830	210	47.11	花了
831	209	47.12	之一
832	209	47.13	上班
833	209	47.14	普通
834	209	47.16	貴
835	208	47.17	很大
836	208	47.18	通常
837	208	47.19	舉辦
838	208	47.20	存在
839	207	47.21	兩個
840	207	47.23	:
841	207	47.23	求
842	207	47.25	上的
843	207	47.25	至
844	207	47.26	每次
845	207	47.28	說得
846	206	47.29	實現
847	206	47.30	我還
848	206	47.31	日子
849	206	47.32	義
850	206	47.33	除
851	205	47.34	上課
852	205	47.36	一個人
853	205	47.37	劇
854	204	47.38	望
855	204	47.39	一部
856	203	47.40	跑
857	202	47.41	以爲
858	202	47.42	經過
859	202	47.43	故事
860	202	47.44	尋
861	202	47.45	接着
862	201	47.47	了很多
863	201	47.48	靠
864	201	47.48	論
865	201	47.50	清楚
866	201	47.51	遠
867	200	47.52	到底
868	200	47.53	養
869	200	47.54	決
870	199	47.55	期間
871	199	47.56	早上
872	199	47.57	要是
873	199	47.58	落
874	199	47.59	市
875	199	47.60	理解
876	199	47.61	稱
877	198	47.62	二
878	198	47.63	吃飯
879	198	47.64	戴
880	197	47.65	許多
881	197	47.66	無
882	197	47.67	樂
883	196	47.68	有了
884	196	47.69	查
885	196	47.70	止
886	196	47.71	接受
887	196	47.72	如此
888	196	47.73	而言
889	196	47.74	擇
890	195	47.75	昨
891	195	47.76	球
892	194	47.77	，但是
893	194	47.78	願意
894	194	47.79	當然
895	194	47.80	即
896	194	47.80	隨着
897	194	47.82	了一個
898	194	47.83	首先
899	194	47.84	再次
900	193	47.85	說的
901	193	47.86	把它
902	193	47.87	知識
903	193	47.88	遍
904	193	47.89	短
905	193	47.90	出發
906	193	47.91	酒
907	192	47.92	象
908	192	47.92	」
909	192	47.93	儘
910	191	47.95	唱
911	191	47.96	用來
912	191	47.96	相關
913	190	47.97	成了
914	190	47.98	注意
915	190	47.99	味
916	190	48.00	深
917	189	48.01	山
918	189	48.02	音
919	189	48.03	景
920	189	48.04	住在
921	189	48.05	談
922	189	48.06	，並
923	188	48.07	商
924	188	48.08	，還
925	188	48.09	錯
926	188	48.10	了解
927	187	48.11	還在
928	187	48.12	表示
929	187	48.13	極
