棒棰	棒槌
再服務業	在服務業
坐收魚利	坐收漁利
華爲泡影	化爲泡影
襤竽充數	濫竽充數
言不由中	言不由衷
骨董	古董
盤陁	盤陀
不好億思	不好意思
她門	她們
性格粗曠	性格粗獷
息緩	喜歡
稨豆	扁豆
事等我女朋友的	是等我女朋友的
對針下藥	對症下藥
圓藝	園藝
作天	昨天
卸儎	卸載
上敘	上述
合唱父系語法	和常複習語法
聲張正義	伸張正義
香純	香醇
姿意妄爲	恣意妄爲
敘文	序文
切搓琢磨	切搓磋磨
辨證理論	辯證理論
美邦法	沒辦法
覆轍	覆轍
戍戌政變	戊戌政變
堅難困苦	艱難困苦
斷章取意	斷章取義
矯柔造作	矯揉造作
漫條斯理	慢條斯理
公司排我	公司派我
吊虎離山	調虎離山
老倆口	老兩口
跌蕩	跌宕
挺而走險	鋌而走險
搭褳	褡褳
潮呼呼	潮乎乎
弱不經風	弱不禁風
放面	方面
耳根清靜	耳根清淨
耽心	擔心
堰旗息鼓	偃旗息鼓
爛縵	爛漫
狼頭	榔頭
爲富不忍	爲富不仁
如期峻工	如期竣工
湎懷先烈	緬懷先烈
痕累	很累
臺灣採	臺灣菜
毋用諱言	毋庸諱言
牽強副會	牽強附會
差遲	差池
鵠首窮經	皓首窮經
城惶誠恐	誠惶誠恐
努生	女生
士女畫	仕女畫
深爲婉惜	深爲惋惜
線然	顯然
厭厭欲睡	懨懨欲睡
糜費	靡費
摒氣凝神	屏氣凝神
沓無音信	杳無音信
哪理	哪裏
鋒鋩	鋒芒
作歇時間	作息時間
隱約其詞	隱約其辭
她九打電話	她就打電話
暝思苦想	冥思苦想
司空見怪	司空見慣
喜暗	喜歡
留着鞭子	留着辮子
羅嗦	囉嗦
花消	花銷
候門如海	侯門如海
如火如茶	如火如荼
發韌	發軔
疲塌	疲沓
牽聯	牽連
文恬武嘻	文恬武嬉
肖象	肖像
錄色	綠色
大明哏他朋友	大明跟他朋友
補釘	補丁
黔驢計窮	黔驢技窮
嘹喨	嘹亮
手醫學治療	受醫學治療
已經再發生了	已經在發生了
發山	爬山
依些	一些
沙壺	砂壺
不另賜教	不吝賜教
永保青春	永葆青春
一落千仗	一落千丈
密魯	祕魯
熾愛	摯愛
遊日聘懷	遊日騁懷
奕棋	弈棋
痙孿	痙攣
雪中送碳	雪中送炭
近去	進去
名聞暇邇	名聞遐邇
大相徑廷	大相徑庭
倍受歡迎	備受歡迎
啞吧	啞巴
磨拳擦掌	摩拳擦掌
裏學校很近	離學校很近
動則得咎	動輒得咎
手不失卷	手不釋卷
不斷的提高	不斷地提高
覺得貳	覺得餓
無是生非	無事生非
勞動鍛練	勞動鍛鍊
恰談業務	洽談業務
投投是道	頭頭是道
招搖闖騙	招搖撞騙
照像機	照相機
要言不繁	要言不煩
起程	啓程
虛無飄緲	虛無縹緲
惟一	唯一
不求深解	不求甚解
祖傳密方	祖傳祕方
吉詳	吉祥
腫漲	腫脹
潮忽忽	潮乎乎
答理	搭理
彰善憚惡	彰善癉惡
亂烘烘	亂哄哄
憑添	平添
兔然	突然
以毒功毒	以毒攻毒
根她坐公共汽車	跟她坐公共汽車
臺彎	臺灣
拌腳之石	絆腳之石
蔽帚自珍	敝帚自珍
事過景遷	事過境遷
編篡字典	編纂字典
格登	咯噔
過的不錯	過得不錯
山顛	山巔
百尺杆頭	百尺竿頭
座一下	坐一下
固疾	痼疾
明火執杖	明火執仗
雕落	凋落
悚人聽聞	聳人聽聞
營爲	因爲
斬新	嶄新
對們	對門
青純	清純
狂大	廣大
座飛機	坐飛機
始作傭者	始作俑者
數爲至少四個人	數位至少四個人
無恥闌言	無恥讕言
忽然開朗	豁然開朗
困獸鬥	困猶鬥
針貶時弊	鍼砭時弊
崗來	剛來
最難得課	最難的課
邊請卡	邀請卡
故作矜恃	故作矜持
繁文褥節	繁文縟節
高興的不得了	高興得不得了
堵注	賭注
剛腹自用	剛愎自用
有疑點藤	有一點疼
必較多	比較多
心曠神飴	心曠神怡
暖哄哄	暖烘烘
受益非淺	受益匪淺
他們得不負責任的態度	他們的不負責任的態度
計畫	計劃
俗不可奈	俗不可耐
遊刀有餘	遊刃有餘
爲國捐驅	爲國捐軀
軼序井然	秩序井然
如雷灌耳	如雷貫耳
蕃衍	繁衍
怎嗎	怎麼
貪髒枉法	貪贓枉法
磕磕拌拌	磕磕絆絆
費寢忘食	廢寢忘食
天然汽	天然氣
漸漸的形成	漸漸地形成
份外	分外
投機搗把	投機倒把
成出不窮	層出不窮
還不過	還不夠
竭澤而魚	竭澤而漁
中國子	中國字
嘔氣	慪氣
交弮	交卷
雀瘢	雀斑
鬼域技倆	鬼蜮伎倆
冒然	貿然
玷玷自喜	沾沾自喜
擊濁揚清	激濁揚清
戰略部暑	戰略部署
不醒人事	不省人事
除惡勿盡	除惡務盡
看得是美國電影	看的是美國電影
約莫	約摸
栽髒陷害	栽贓陷害
好朋有	好朋友
五彩斑爛	五彩斑斕
推稱出新	推陳出新
搭拉	耷拉
翻然醒悟	幡然醒悟
林雨	淋雨
艱苦倍嘗	艱苦備嚐
伏輸	服輸
想望	嚮往
安份守紀	安分守紀
旁遍	旁邊
邀情	邀請
揚常而去	揚長而去
沾辱	玷辱
好好的準備	好好地準備
很來	很累
談討	探討
水乳交溶	水乳交融
定婚	訂婚
無尚	無上
不輸服	不舒服
破斧沉舟	破釜沉舟
庸庸彔彔	庸庸碌碌
山巒重迭	山巒重疊
一瀉千里	一瀉千里
卑躬曲膝	卑躬屈膝
方假	放假
搗騰	倒騰
敷演塞責	敷衍塞責
罷絀百家	黜絀百家
未日來臨	末日來臨
各行其事	各行其是
故作恣態	故作姿態
寰麟	婚禮
鴆形鵠面	鳩形鵠面
插血爲盟	歃血爲盟
客愛	可愛
可以馬	可以嗎
屈伏	屈服
背理	悖理
明片	名片
香菰	香菇
保護國萃	保護國粹
將學金	獎學金
菾菜	甜菜
月芽	月牙
委靡	萎靡
無線大	無限大
責無旁代	責無旁貸
擔擱	耽擱
偃苗助長	揠苗助長
死氣白賴	死乞白賴
盤跚	蹣跚
磐竹難書	罄竹難書
鴻福	洪福
翱遊	遨遊
不溫不火	不瘟不火
這到不錯	這倒不錯
勾針	鉤針
編篡	編纂
倉黃	倉皇
九宵	九霄
病入膏盲	病入膏肓
螞蜂	馬蜂
連鎖反映	連鎖反應
人言責責	人言嘖嘖
脈博微弱	脈搏微弱
變的困難	變得困難
不能自己	不能自已
辯辭	辯詞
忠於等到了	終於等到了
端五	端午
倆個	兩個
澹然	淡然
益於言表	溢於言表
十子路口	十字路口
因才施教	因材施教
撕殺	廝殺
赤博上陣	赤膊上陣
含胡	含糊
呼嗤	呼哧
暴烈恣睢	暴戾恣睢
回來臺灣	會來臺灣
要作塑膠袋	要做塑膠袋
塞太陽	曬太陽
無空不入	無孔不入
疏緩	舒緩
銷歇	消歇
燴炙人口	膾炙人口
車箱	車廂
敘言	序言
元煤	原煤
諜諜不休	喋喋不休
擠身三強	躋身三強
惡訊循環	惡性循環
洗碗	希望
夠貓	狗貓
峻工驗收	竣工驗收
情素	情愫
耐心的教育	耐心地教育
花着	花招
激忿	激憤
暇瑜互見	瑕瑜互見
宏揚	弘揚
回光反照	迴光返照
混身是膽	渾身是膽
雜遝	雜沓
惓惓	拳拳
嗜酒成僻	嗜酒成癖
痛心擊首	痛心疾首
開發看經濟	開發和經濟
學習的很愉快	學習得很愉快
牛崽褲	牛仔褲
兢競業業	兢兢業業
璀爛奪目	璀璨奪目
循章摘句	尋章摘句
合問她	和問她
展生	產生
臺杯	臺北
他杏林	他姓林
仗義輸財	仗義疏財
峻工	竣工
多某些人來說	對某些人來說
吃部下	吃不下
慓悍	剽悍
安幫定國	安邦定國
百練成鋼	百鍊成鋼
防患未燃	防患未然
財物科	財務科
請座	請坐
哀聲嘆氣	唉聲嘆氣
折衷	折中
不斷的	不斷地
飄泊	漂泊
擁帶	擁戴
漂亮的術	漂亮的樹
簡煉	簡練
戳力同心	戮力同心
號咷	號啕
一應具全	一應俱全
一點鵝	一點餓
聯綿	連綿
厲厲在目	歷歷在目
搭赸	搭訕
舢舨	舢板
談着談者	談着談着
慘絕人圜	慘絕人寰
他們的採	他們的菜
絕然不同	截然不同
昏饋無能	昏聵無能
俶儻	倜儻
舉足無措	手足無措
忘恩負意	忘恩負義
滿腹經倫	滿腹經綸
認識浮淺	認識膚淺
啞叭	啞巴
不斷的努力	不斷地努力
學識休養	學識修養
希少	稀少
根柢	根底
全神灌注	全神貫注
